infra_id,infra_kind,longueur,material_cost,labor_cost_continuous,total_cost,duration_hours_4workers,beneficiaries_proxy,is_hospital_path,phase
P003881,aerien,5.48429532793334,2742.1476639666703,411.32214959500055,3153.469813561671,2.74214766396667,6,False,1
P005664,aerien,12.9108403618454,6455.4201809227,968.313027138405,7423.733208061105,6.4554201809227,6,False,1
P007448,aerien,7.9742290455672,3987.1145227836,598.06717841754,4585.18170120114,3.9871145227836,6,False,1
P007476,fourreau,4.92849119929359,4435.642079364231,924.0920998675481,5359.734179231779,6.160613999116987,6,False,1
P007572,aerien,5.62700791605979,2813.503958029895,422.0255937044842,3235.5295517343793,2.813503958029895,6,False,1
P007616,aerien,7.57918244268621,3789.5912213431047,568.4386832014658,4358.029904544571,3.789591221343105,6,False,1
P007627,semi-aerien,8.53830202306228,6403.726517296711,1280.745303459342,7684.471820756053,8.53830202306228,6,False,1
P007679,semi-aerien,4.5706986139249,3428.023960443675,685.604792088735,4113.6287525324105,4.5706986139249,6,False,1
P007737,fourreau,4.66009795790718,4194.088162116462,873.7683671075962,5067.856529224058,5.825122447383975,6,False,1
P007485,semi-aerien,5.64944506755882,4237.083800669115,847.416760133823,5084.500560802938,5.64944506755882,5,False,1
P007497,aerien,7.52768320033647,3763.841600168235,564.5762400252353,4328.4178401934705,3.763841600168235,5,False,1
P007518,aerien,4.91814131725302,2459.07065862651,368.86059879397646,2827.9312574204864,2.45907065862651,5,False,1
P007602,aerien,11.2388526888587,5619.42634442935,842.9139516644025,6462.340296093753,5.61942634442935,5,False,1
P007662,aerien,1.45309505359909,726.547526799545,108.98212901993176,835.5296558194768,0.726547526799545,5,False,1
P007698,aerien,9.47252997174691,4736.264985873455,710.4397478810183,5446.704733754474,4.736264985873455,5,False,1
P007813,fourreau,1.36523196955369,1228.708772598321,255.9809942913169,1484.689766889638,1.7065399619421127,5,False,1
P007985,aerien,10.4897301634131,5244.86508170655,786.7297622559825,6031.594843962533,5.24486508170655,5,False,1
P007996,aerien,9.96720012610787,4983.600063053936,747.5400094580904,5731.140072512026,4.983600063053935,5,False,1
P000629,aerien,5.31366434867898,2656.83217433949,398.5248261509235,3055.3570004904136,2.65683217433949,4,False,1
P000744,aerien,5.56320770970003,2781.6038548500146,417.2405782275022,3198.844433077517,2.781603854850015,4,False,1
P000748,aerien,4.62412685627937,2312.0634281396847,346.80951422095274,2658.8729423606374,2.312063428139685,4,False,1
P003330,aerien,1.95148972393884,975.74486196942,146.361729295413,1122.106591264833,0.97574486196942,4,False,1
P004185,aerien,5.82173712682777,2910.868563413885,436.63028451208277,3347.4988479259678,2.910868563413885,4,False,1
P007539,aerien,6.64993672554073,3324.968362770365,498.74525441555477,3823.7136171859197,3.324968362770365,4,False,1
P007544,aerien,3.33630911377794,1668.1545568889699,250.2231835333455,1918.3777404223154,1.66815455688897,4,False,1
P007567,aerien,4.70550586894857,2352.7529344742848,352.91294017114274,2705.6658746454277,2.352752934474285,4,False,1
P007607,aerien,7.64056605573305,3820.283027866525,573.0424541799788,4393.325482046504,3.820283027866525,4,False,1
P007624,aerien,4.10990474598487,2054.952372992435,308.2428559488652,2363.1952289413002,2.054952372992435,4,False,1
P007763,aerien,6.65725214040895,3328.626070204475,499.29391053067127,3827.9199807351465,3.328626070204475,4,False,1
P007770,aerien,3.21575403753504,1607.87701876752,241.181552815128,1849.058571582648,1.60787701876752,4,False,1
P000633,aerien,5.1921602413572,2596.0801206786,389.41201810179,2985.49213878039,2.5960801206786,3,False,1
P003202,semi-aerien,3.57039201834049,2677.7940137553674,535.5588027510735,3213.352816506441,3.57039201834049,3,False,1
P003934,aerien,6.60463481490573,3302.317407452865,495.3476111179298,3797.665018570795,3.302317407452865,3,False,1
P007677,fourreau,3.55803562516816,3202.232062651344,667.13167971903,3869.363742370374,4.4475445314602,3,False,1
P008007,aerien,6.84639309859005,3423.196549295025,513.4794823942538,3936.6760316892787,3.423196549295025,3,False,1
P007533,semi-aerien,2.84839658610424,2136.29743957818,427.259487915636,2563.5569274938157,2.84839658610424,2,False,1
P007584,aerien,3.081639376471,1540.8196882355,231.122953235325,1771.942641470825,1.5408196882355,2,False,1
P007645,aerien,3.03521930158189,1517.609650790945,227.64144761864173,1745.2510984095866,1.517609650790945,2,False,1
P007997,fourreau,30.1295771789513,27116.619461056172,5649.29572105337,32765.915182109544,37.66197147368913,12,False,2
